zip5,state,district,is_split,is_dc
86432,AZ,9,False,False
86433,AZ,9,False,False
86435,AZ,2,False,False
86436,AZ,9,False,False
86438,AZ,9,False,False
86440,AZ,9,False,False
86441,AZ,9,False,False
86442,AZ,9,False,False
86443,AZ,9,False,False
86445,AZ,9,False,False
86502,AZ,2,False,False
86503,AZ,2,False,False
86505,AZ,2,False,False
86506,AZ,2,False,False
86507,AZ,2,False,False
86508,AZ,2,False,False
86510,AZ,2,False,False
86511,AZ,2,False,False
86512,AZ,2,False,False
86520,AZ,2,False,False
86535,AZ,2,False,False
86538,AZ,2,False,False
86540,AZ,2,False,False
86544,AZ,2,False,False
86545,AZ,2,False,False
86547,AZ,2,False,False
86556,AZ,2,False,False
71602,AR,4,False,False
71630,AR,1,False,False
71631,AR,4,False,False
71635,AR,4,False,False
71639,AR,1,False,False
71640,AR,1,False,False
71642,AR,4,False,False
71643,AR,1,False,False
71646,AR,4,False,False
71647,AR,4,False,False
71651,AR,4,False,False
71652,AR,4,False,False
71653,AR,1,False,False
71654,AR,1,False,False
71658,AR,4,False,False
71659,AR,4,False,False
71660,AR,4,False,False
71662,AR,1,False,False
71665,AR,4,False,False
71666,AR,1,False,False
71671,AR,4,False,False
71674,AR,1,False,False
71677,AR,4,False,False
71678,AR,1,False,False
71701,AR,4,False,False
71720,AR,4,False,False
71721,AR,4,False,False
71722,AR,4,False,False
71724,AR,4,False,False
71725,AR,4,False,False
71726,AR,4,False,False
71728,AR,4,False,False
71730,AR,4,False,False
71740,AR,4,False,False
71742,AR,4,False,False
71743,AR,4,False,False
71744,AR,4,False,False
71745,AR,4,False,False
71747,AR,4,False,False
71748,AR,4,False,False
71749,AR,4,False,False
71751,AR,4,False,False
71752,AR,4,False,False
71753,AR,4,False,False
71758,AR,4,False,False
71759,AR,4,False,False
71762,AR,4,False,False
71763,AR,4,False,False
71764,AR,4,False,False
71765,AR,4,False,False
71766,AR,4,False,False
71770,AR,4,False,False
71772,AR,4,False,False
71801,AR,4,False,False
71820,AR,4,False,False
71822,AR,4,False,False
71823,AR,4,False,False
71825,AR,4,False,False
71826,AR,4,False,False
71827,AR,4,False,False
71831,AR,4,False,False
71832,AR,4,False,False
71833,AR,4,False,False
71834,AR,4,False,False
71835,AR,4,False,False
71836,AR,4,False,False
71837,AR,4,False,False
71838,AR,4,False,False
71839,AR,4,False,False
71841,AR,4,False,False
71842,AR,4,False,False
71845,AR,4,False,False
71846,AR,4,False,False
71847,AR,4,False,False
71851,AR,4,False,False
71852,AR,4,False,False
71853,AR,4,False,False
71854,AR,4,False,False
71855,AR,4,False,False
71857,AR,4,False,False
71858,AR,4,False,False
71859,AR,4,False,False
71860,AR,4,False,False
71861,AR,4,False,False
71862,AR,4,False,False
71864,AR,4,False,False
71865,AR,4,False,False
71866,AR,4,False,False
71901,AR,4,False,False
71913,AR,4,False,False
71921,AR,4,False,False
71922,AR,4,False,False
71923,AR,4,False,False
71929,AR,4,False,False
71933,AR,4,False,False
71935,AR,4,False,False
71940,AR,4,False,False
71941,AR,4,False,False
71942,AR,4,False,False
71943,AR,4,False,False
71944,AR,4,False,False
71945,AR,4,False,False
71949,AR,4,False,False
71950,AR,4,False,False
71952,AR,4,False,False
71956,AR,4,False,False
71957,AR,4,False,False
71958,AR,4,False,False
71959,AR,4,False,False
71960,AR,4,False,False
71961,AR,4,False,False
71962,AR,4,False,False
71964,AR,4,False,False
71965,AR,4,False,False
71968,AR,4,False,False
71969,AR,4,False,False
71970,AR,4,False,False
71971,AR,4,False,False
71972,AR,4,False,False
71973,AR,4,False,False
71998,AR,4,False,False
71999,AR,4,False,False
72001,AR,2,False,False
72002,AR,2,False,False
72003,AR,1,False,False
72005,AR,1,False,False
72006,AR,1,False,False
72007,AR,1,False,False
72010,AR,2,False,False
72012,AR,2,False,False
72013,AR,2,False,False
72014,AR,1,False,False
72016,AR,2,False,False
72017,AR,1,False,False
72019,AR,2,False,False
72021,AR,1,False,False
72022,AR,2,False,False
72024,AR,1,False,False
72026,AR,1,False,False
72027,AR,2,False,False
72028,AR,2,False,False
72029,AR,1,False,False
72030,AR,2,False,False
72032,AR,2,False,False
72034,AR,2,False,False
72035,AR,2,False,False
72036,AR,1,False,False
